event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,player,team,best_p,games,kills,assists,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_time_to_first_kill,top_10_pct,t10_to_t5_pct,t5_to_t1_pct
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,13,MST iiTzTimmy,Not Moist,1st,34,50,87,54,36,"24,405","16,851","7,554",488.1,"2,048",10,9,1.56,4.28,32,10h 20m 14s,,61.8%,61.9%,23.1%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,14,TLAW jaguaresl,Liquid Alienware,1st,40,28,33,38,44,"17,277","19,644","-2,367",617.04,"1,649",7,2,0.72,1.56,39,10h 14m 37s,,42.5%,47.1%,25%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,15,SDW KPG_OuOKh,shadow3690,1st,30,17,36,27,38,"17,644","17,634",10,1037.88,"1,482",5,4,0.52,1.61,33,8h 11m 5s,,46.7%,42.9%,16.7%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,16,FAZE arctic,FaZe,1st,24,11,11,17,24,"13,277","12,310",967,1207,614,1,6,0.48,0.96,23,6h 31m 35s,,50%,41.7%,20%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,17,NAVI iHenchman,Natus Vincere,1st,30,38,31,50,27,"20,917","17,580","3,337",550.45,438,4,2,1.52,2.76,25,8h 21m 2s,,56.7%,70.6%,41.7%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,18,EXL Azazel,E-Xolos LAZER,1st,30,31,28,35,30,"18,080","16,831","1,249",583.23,"1,240",3,1,1.15,2.19,27,8h 30m 35s,,73.3%,50%,18.2%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,19,ALL Unlucky,Alliance,1st,40,73,56,81,49,"28,686","21,657","7,029",392.96,"2,999",7,1,1.78,3.15,41,10h 28m 33s,,42.5%,64.7%,27.3%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,20,FAK Kyner,FA KIDS,4th,24,15,21,23,36,"9,964","13,308","-3,344",664.27,"2,782",2,0,0.52,1.24,29,6h 26m 29s,,37.5%,11.1%,0%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,21,LG Fuhhnq,LG,1st,30,23,27,27,33,"16,060","15,425",635,698.26,784,11,2,0.85,1.85,27,8h 16m 51s,,63.3%,52.6%,20%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,22,ALL Hakis,Alliance,1st,40,35,92,33,46,"22,785","20,345","2,440",651,"1,585",10,8,0.9,3.26,39,10h 32m 28s,,42.5%,64.7%,27.3%
