event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,team,games,best_p,avg_p,kills,place_pts,total_pts,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_fastest_first_kill,top_1s,top_2s,top_3s,top_5s,top_10s,top_15s,top_20s,top_10_pct,t10_to_t5_pct,t5_to_t1_pct,assists
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,32,Cloud9,38,1st,9.2,103,125,228,135,121,"63,066","55,249","7,817",612.29,"4,943",9,2,0.93,1.99,111,32h 27m 25s,12m 59s,2,4,9,12,23,31,38,60.5%,52.2%,16.7%,118
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,33,Tom Yum Kung,24,3rd,12,46,41,87,64,85,"29,338","35,242","-5,904",637.78,"6,813",6,9,0.57,1.1,81,18h 12m 21s,10m 44s,0,0,2,3,9,17,24,37.5%,33.3%,0%,43
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,34,PassionUA,24,3rd,10.8,55,50,105,69,86,"42,414","45,129","-2,715",771.16,"1,329",13,4,0.72,1.55,76,19h 28m 48s,9m 43s,0,0,2,3,12,20,24,50%,25%,0%,63
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,35,BR DEM0NZ,24,1st,12.5,48,44,92,67,73,"31,809","34,134","-2,325",662.69,"3,705",5,0,0.7,1.32,69,17h 37m 25s,11m 20s,1,1,1,4,7,17,24,29.2%,57.1%,25%,43
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,36,wonton dumpling,30,1st,12.9,69,56,125,88,103,"39,254","43,229","-3,975",568.9,"2,736",16,4,0.76,1.49,91,19h 25m 19s,9m 33s,1,2,3,6,10,16,30,33.3%,60%,16.7%,67
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,37,RIDDLE ORDER,24,2nd,12.5,40,48,88,55,78,"27,683","32,006","-4,323",692.08,653,5,2,0.54,0.99,74,16h 50m 4s,9m 29s,0,3,3,5,10,12,24,41.7%,50%,0%,33
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,38,HEROEZ,30,1st,11.1,67,83,150,86,102,"44,123","48,265","-4,142",658.55,"4,933",13,6,0.73,1.32,92,22h 45m 28s,10m 22s,2,4,4,8,13,23,30,43.3%,61.5%,25%,54
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,39,HAO,24,2nd,11,37,50,87,46,79,"26,000","31,299","-5,299",702.7,"3,960",8,1,0.51,1.08,73,18h 36m 8s,13m 9s,0,1,1,4,14,19,24,58.3%,28.6%,0%,42
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,40,GEARED GAMING,30,1st,10.6,86,86,172,98,97,"41,175","44,824","-3,649",478.78,"2,681",13,2,1,1.95,86,23h 13m 26s,9m 52s,2,5,5,6,17,22,30,56.7%,35.3%,33.3%,82
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,1,GEEKAY ESPORTS,20,2nd,11.8,50,39,89,63,62,"28,023","26,886","1,137",560.46,"1,070",9,0,0.88,1.79,57,,11m 14s,0,0,0,2,6,8,10,45%,44.4%,0%,52
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,2,GaiminGladiators,23,1st,9.6,89,79,168,99,72,"44,334","42,903","1,431",498.13,"3,544",18,1,1.46,3.23,61,,9m 51s,2,4,6,8,13,16,23,56.5%,61.5%,25%,108
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,3,Red Rams,20,1st,12.4,46,39,85,56,57,"23,558","18,516","5,042",512.13,"6,528",3,2,0.82,1.66,56,,11m 1s,1,1,2,4,7,11,20,35%,57.1%,25%,47
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,4,MKERS,20,1st,12.8,36,38,74,46,58,"26,793","21,966","4,827",744.25,"2,703",5,1,0.65,1.29,55,,13m 47s,0,1,1,2,3,6,10,25%,60%,33.3%,35
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,5,Reject Winnity,10,4th,14.5,8,11,19,14,34,"10,359","10,807",-448,1294.88,"1,060",4,3,0.27,0.53,30,,10m 30s,0,0,0,1,3,4,10,30%,33.3%,0%,8
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,6,Team Falcons,23,1st,6.4,122,123,245,144,72,"66,123","46,085","20,038",541.99,"2,413",15,0,2.26,4.78,54,,9m 56s,4,8,9,12,17,22,23,73.9%,70.6%,33.3%,136
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,7,Luminosity Gaming,23,1st,8.3,76,92,168,93,76,"48,990","45,491","3,499",644.61,"1,607",14,3,1.15,2.26,66,,11m 5s,1,3,9,10,14,19,23,60.9%,71.4%,10%,73
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,8,FaZe,23,1st,9.2,67,72,139,83,71,"46,279","36,802","9,477",690.73,"1,470",11,1,1.08,1.98,62,,11m 39s,2,3,3,8,13,18,23,56.5%,61.5%,25%,56
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,9,Disguised,20,2nd,9.9,62,48,110,82,70,"35,491","27,408","8,083",572.44,"5,093",16,2,1.05,1.8,59,,11m 44s,0,1,1,4,13,16,20,65%,30.8%,0%,44
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,96,team_stats,Top 10 Teams,10,Pioneers,20,3rd,12.7,35,32,67,49,70,"25,601","23,767","1,834",731.46,"4,412",11,5,0.56,1.27,62,,8m 25s,0,0,1,5,6,13,20,30%,83.3%,0%,44
