event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,weapon_key,weapon,kills,damage,knockdowns,times_knocked,fwr_pct,shots,hits,accuracy,playtime,playtime_seconds,max_kill_range,max_damage_range,icon,stage,game_label,game_number,map_name,stats_url,replay_url,title,category,total_kills,total_damage,kill_share_pct,damage_share_pct
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,ThermiteGrenade,Thermite Grenade,16,11685,40.0,,,,3457.0,-,0h 0m 0s,0,45.04,142.58,Thermite_Grenade.svg,,,,,,,,Ordnance,3276,1795574,0.4884004884004884,0.6507668299941969
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,C.A.R.,C.A.R.,0,0,,141.0,,20256.0,,0%,6h 40m 57s,24057,0.0,0.0,C.A.R._SMG_Icon.svg,,,,,,,,SMG,3276,1795574,0.0,0.0
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Peacekeeper,Peacekeeper,71,27187,132.0,103.0,56.17,745.0,2970.0,-,2h 56m 41s,10601,23.59,89.74,Peacekeeper_Icon.svg,,,,,,,,Shotgun,3276,1795574,2.167277167277167,1.5141119218701096
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Devotion,Devotion LMG,20,8435,34.0,18.0,65.38,3222.0,602.0,18.68%,1h 22m 25s,4945,61.13,168.14,Devotion_LMG_Icon.svg,,,,,,,,LMG,3276,1795574,0.6105006105006106,0.4697662140351776
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,ThermiteGrenade,Thermite Grenade,13,6253,24.0,,,,1733.0,-,0h 0m 0s,0,72.43,113.37,Thermite_Grenade.svg,,,,,,,,Ordnance,2235,1337366,0.5816554809843401,0.4675608621723597
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,TripleTake,Triple Take,55,51384,98.0,20.0,83.05,5151.0,2529.0,49.1%,13h 32m 0s,48720,231.97,379.77,Triple_Take_Icon.svg,,,,,,,,Precision,2235,1337366,2.460850111856823,3.842179328620587
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Sentinel,Sentinel,33,51373,75.0,18.0,80.65,2766.0,674.0,24.37%,12h 42m 34s,45754,210.72,471.33,Sentinel_Icon.svg,,,,,,,,Precision,2235,1337366,1.476510067114094,3.841356816309073
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Longbow,Longbow DMR,10,9854,19.0,3.0,86.36,1112.0,198.0,17.81%,2h 24m 0s,8640,210.73,436.44,Longbow_DMR_Icon.svg,,,,,,,,Precision,2235,1337366,0.44742729306487694,0.7368214834233859
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,RE-45,RE-45,2,764,6.0,2.0,75.0,885.0,62.0,7.01%,0h 29m 34s,1774,24.08,98.53,RE-45_Auto_Icon.svg,,,,,,,,Pistol/SMG,2235,1337366,0.0894854586129754,0.05712721872696031
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Wingman,Wingman,25,7568,45.0,12.0,78.95,1330.0,171.0,12.86%,2h 24m 56s,8696,116.96,166.4,Wingman_Icon.svg,,,,,,,,Precision,2235,1337366,1.1185682326621924,0.5658884703215126
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Spitfire,M600 Spitfire,4,2489,9.0,6.0,60.0,1728.0,146.0,8.45%,0h 48m 28s,2908,48.63,164.45,M600_Spitfire_Icon.svg,,,,,,,,LMG,2235,1337366,0.1789709172259508,0.18611210394162855
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Kraber,Kraber .50-Cal Sniper,9,4071,19.0,5.0,79.17,,32.0,-,0h 44m 59s,2699,69.95,180.3,Kraber_.50-Cal_Sniper_Icon.svg,,,,,,,,Precision,2235,1337366,0.40268456375838924,0.304404329106617
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Mozambique,Mozambique Shotgun,3,863,6.0,3.0,66.67,144.0,58.0,40.28%,0h 13m 47s,827,7.09,26.49,Mozambique_Shotgun_Icon.svg,,,,,,,,Shotgun,2235,1337366,0.1342281879194631,0.06452982953058474
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Bocek,Bocek Compound Bow,11,10051,25.0,1.0,96.15,,176.0,-,0h 43m 28s,2608,110.35,223.35,Bocek_Compound_Bow_Icon.svg,,,,,,,,Precision,2235,1337366,0.49217002237136465,0.7515519311841335
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,ChargeRifle,Charge Rifle,13,14935,24.0,,,989.0,173.0,17.49%,3h 32m 39s,12759,231.84,407.47,Charge_Rifle_Icon.svg,,,,,,,,Precision,2235,1337366,0.5816554809843401,1.1167473974962725
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,EVA-8,EVA-8 Auto,8,1329,15.0,,,,206.0,-,0h 0m 0s,0,16.42,26.96,EVA-8_Auto_Icon.svg,,,,,,,,Shotgun,2235,1337366,0.3579418344519016,0.09937444200017048
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Melee,Melee,1,185,2.0,,,,7.0,-,0h 0m 0s,0,0.97,3.97,Melee.svg,,,,,,,,Other,2235,1337366,0.0447427293064877,0.013833161602732536
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Devotion,Devotion LMG,20,8140,36.0,,,,519.0,-,0h 0m 0s,0,58.72,177.9,Devotion_LMG_Icon.svg,,,,,,,,LMG,2235,1337366,0.8948545861297539,0.6086591105202316
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,P2020,P2020,0,0,,,,238.0,,0%,0h 11m 45s,705,0.0,0.0,P2020_Icon.svg,,,,,,,,Pistol/Akimbo,2235,1337366,0.0,0.0
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Mastiff,Mastiff Shotgun,2,1218,6.0,13.0,31.58,42.0,111.0,-,0h 18m 45s,1125,7.56,31.73,Mastiff_Shotgun_Icon.svg,,,,,,,,Shotgun,2235,1337366,0.0894854586129754,0.09107454503853096
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Mozambique (Akimbo),Mozambique (Akimbo),0,0,,,,,,NAN%,0h 0m 21s,21,0.0,0.0,Mozambique_Shotgun_Akimbo_Icon.svg,,,,,,,,Shotgun/Akimbo,2235,1337366,0.0,0.0
